Dataset,Model,raw_feature_count,post_filter_feature_count,selected_feature_count,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std
MC1,XGB,38,19,15,0.4278528878528879,0.2176325029147822,0.8039308618223077,0.10029119865924721,0.4847619047619048,0.20861418710801094,0.4066666666666667,0.231644683209564,0.4250766533564826,0.2160747920453992
MC1,LGBM,38,19,15,0.41391534391534396,0.2325879587042192,0.7965765132455231,0.11200116803776239,0.49182539682539683,0.27189144140316235,0.3844444444444445,0.2452109195401551,0.41568218430019027,0.23555608656636226
MC1,RF,38,19,15,0.3300965700965701,0.21627191506912571,0.8195257181852563,0.11338359028777201,0.3346825396825397,0.20756154851578992,0.3466666666666667,0.24337138210896866,0.3196176088236968,0.22111785103717874
MC1,ExtraTrees,38,19,15,0.2698264698264698,0.2723552180507718,0.818435819643826,0.1153989936231735,0.295,0.30073674965423264,0.2577777777777778,0.2656833723080683,0.2618659107347837,0.2768887937567781
MC1,BalancedRF,38,19,15,0.16486198846398128,0.04356662162603998,0.8255250933188628,0.10157847734358173,0.09374478667402975,0.02544177164116667,0.7044444444444444,0.18811606608949613,0.2141866955943815,0.07122716291277192
MC1,LogReg,38,19,15,0.12934722271765553,0.044758028092995956,0.7469222452436156,0.14165131013664414,0.07329527746729493,0.025341515971559855,0.5666666666666668,0.2221110833194358,0.15545582726060753,0.07835880460150141
MC2,ExtraTrees,39,14,14,0.6544370444370443,0.1360533051689469,0.7384691358024693,0.1443375271706332,0.5884656084656085,0.14598741754924105,0.7644444444444446,0.1679800105685712,0.4515187362685449,0.2210412915779168
MC2,BalancedRF,39,14,14,0.6295149295149295,0.11218381240043035,0.7639259259259259,0.11480500157186872,0.5335449735449734,0.1045876844865384,0.7777777777777779,0.14487116456005888,0.39683376931853825,0.18468326821300202
MC2,LGBM,39,14,14,0.5673667073667074,0.14928653183227644,0.6985925925925928,0.11190254758254663,0.5843386243386244,0.16659571850115626,0.5955555555555555,0.2299328941288504,0.3668005549980282,0.20105899338379385
MC2,RF,39,14,14,0.5018374218374219,0.1555676846535662,0.7409382716049383,0.11727198379495325,0.6874603174603175,0.23435227256060692,0.43111111111111117,0.17361799986332985,0.35665753657686866,0.19614606618741373
MC2,XGB,39,14,14,0.5088071188071187,0.15818111384690947,0.7342716049382715,0.12710312981552058,0.6246031746031746,0.22649798089376955,0.46666666666666673,0.19360134679666224,0.32669170531800956,0.2172887965779696
MC2,LogReg,39,14,14,0.49492655492655496,0.10854279146479408,0.6695308641975309,0.09711931924391176,0.47407407407407415,0.1144673258160959,0.5488888888888889,0.1750625990331656,0.2073746506003087,0.16883392223584365
MW1,RF,37,13,12,0.42857142857142855,0.32449507261928495,0.6602880658436213,0.16800811574319638,0.55,0.4169998667732268,0.3777777777777779,0.3130889511912305,0.4089636246035602,0.3461436595281004
MW1,XGB,37,13,12,0.3952380952380953,0.23496996479069723,0.6207818930041152,0.174014475783427,0.4052380952380953,0.27197688977453316,0.4222222222222222,0.2779999111821512,0.33980393523830027,0.2625549165983216
MW1,ExtraTrees,37,13,12,0.37927368927368926,0.15050039369041449,0.6699588477366255,0.15252230236568143,0.31492063492063493,0.11839971842557408,0.5,0.2453266907313291,0.3091574753645917,0.1731109296988198
MW1,LGBM,37,13,12,0.35317460317460314,0.21517569447095014,0.645267489711934,0.16496027345594172,0.35079365079365077,0.25683942512749797,0.39999999999999997,0.27080128015453203,0.2870528478151187,0.25094753868728925
MW1,LogReg,37,13,12,0.3248862248862249,0.13287096324306938,0.7197530864197531,0.14699568892009499,0.2316738816738817,0.09572487812496902,0.5833333333333335,0.26874192494328497,0.24616600699885186,0.17572158920871742
