Dataset,raw_feature_count,post_filter_feature_count,selected_feature_count,Model,Threshold,F1,Precision,Recall,AUC-ROC,MCC,Baseline_F1,Baseline_MCC,Baseline_AUC_ROC,Delta_F1,Delta_MCC,Delta_AUC_ROC
MC1,38,19,15,LogReg,0.8290098448346778,0.08333333333333333,0.06666666666666667,0.1111111111111111,0.7192230791202514,0.05864279707524222,0.4274952919020716,0.2408671398865501,0.6719910980755378,-0.34416195856873827,-0.18222434281130787,0.0472319810447136
MC1,38,19,15,ExtraTrees,0.608261807317021,0.0,0.0,0.0,0.8100542702085118,-0.017156756244034187,0.4551282051282051,0.3002805915477367,0.7016736132551199,-0.4551282051282051,-0.31743734779177085,0.10838065695339194
MC2,39,14,14,RF,0.6982155467266987,0.6153846153846154,1.0,0.4444444444444444,0.6944444444444445,0.5819143739626463,0.2684124386252046,0.236262410894647,0.6883554595039622,0.34697217675941083,0.34565196306799933,0.006088984940482378
MC2,39,14,14,BalancedRF,0.8233333333333334,0.6153846153846154,1.0,0.4444444444444444,0.6875000000000001,0.5819143739626463,0.3342618384401114,0.2317542984856294,0.6883014304826592,0.281122776944504,0.35016007547701694,-0.0008014304826591268
MC2,39,14,14,LGBM,0.8316066036828973,0.6153846153846154,1.0,0.4444444444444444,0.6458333333333334,0.5819143739626463,0.3304597701149425,0.2413011691604569,0.686178861788618,0.28492484526967293,0.34061320480218943,-0.04034552845528461
MC2,39,14,14,XGB,0.6487675309181213,0.5,0.5714285714285714,0.4444444444444444,0.6388888888888888,0.27468516529888065,0.4440677966101695,0.2493867209227186,0.6868651589996912,0.055932203389830515,0.02529844437616205,-0.04797627011080241
MC2,39,14,14,LogReg,0.23725729526908568,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.6875,0.22634157113224274,0.4274952919020716,0.2408671398865501,0.6719910980755378,0.1439332795264998,-0.014525568754307355,0.015508901924462193
MC2,39,14,14,ExtraTrees,0.5207110369513326,0.5,0.45454545454545453,0.5555555555555556,0.7430555555555556,0.17459497553883238,0.4551282051282051,0.3002805915477367,0.7016736132551199,0.04487179487179488,-0.1256856160089043,0.04138194230043568
MW1,37,13,12,LogReg,0.6948322578440592,0.6,0.6,0.6,0.6521739130434783,0.5565217391304348,0.4274952919020716,0.2408671398865501,0.6719910980755378,0.1725047080979284,0.3156545992438847,-0.019817185032059537
MW1,37,13,12,BalancedRF,0.6053333333333333,0.42857142857142855,0.3333333333333333,0.6,0.7434782608695653,0.36628061740041584,0.3342618384401114,0.2317542984856294,0.6883014304826592,0.09430959013131712,0.13452631891478645,0.05517683038690602
MW1,37,13,12,LGBM,0.12070343265616817,0.2962962962962963,0.18181818181818182,0.8,0.7913043478260869,0.24538815552511603,0.3304597701149425,0.2413011691604569,0.686178861788618,-0.034163473818646206,0.004086986364659123,0.10512548603746896
MW1,37,13,12,RF,0.26042105826418543,0.2857142857142857,0.1875,0.6,0.8043478260869565,0.2034065475900038,0.2684124386252046,0.236262410894647,0.6883554595039622,0.017301847089081113,-0.03285586330464321,0.11599236658299439
MW1,37,13,12,XGB,0.2628251016139984,0.2857142857142857,0.1875,0.6,0.7434782608695653,0.2034065475900038,0.4440677966101695,0.2493867209227186,0.6868651589996912,-0.1583535108958838,-0.04598017333271481,0.056613101869874005
